objectId,createdAt,updatedAt,ACL,team_id,fall_year,player_ids
bgDOzIt3d3,Wed Oct 07 2015 13:33:10 GMT-0500 (Central Daylight Time),Tue Feb 02 2016 20:43:04 GMT-0600 (Central Standard Time),null,72aC65hDVy,2014,"[""xEvey7LHCs"",""0kBR9KgDGS"",""sTfp1xVTJ6"",""BEYDVRhJeB"",""3chZpnf9Am"",""EMWeMkVBVK"",""r0Z63P1ZtU"",""goSgpc30T5"",""mrNtl0DtIC"",""BP4Pq5sWgd"",""p21ZyfS16B"",""RY9uvxgIjJ"",""LXtwA1U1HF"",""WZWslTb1Ss"",""04r1R9pfGT"",""Pnr4BHAnvi"",""wpu4ksFD6S"",""CWl5bsSkzf"",""m3sRG3tBFi"",""NPwL8Dh2y4"",""EnJLWiMjLJ"",""0VOQW5HECu"",""q9N175q8VS"",""KAvbEEnLar"",""WAnRQurUlq"",""Ri17zAc4mq"",""RkbYS79bYA"",""GBOHwub6oF"",""rSajAJDeuJ"",""QYN5vuPsmt"",""eSE8HPACe4"",""TCvR2vp6ja"",""zZn43rvZlb"",""ct7n8OibzN"",""titeRGhaoB""]"
dEHHeyFRNQ,Mon Oct 10 2016 10:19:00 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 12:07:21 GMT-0500 (Central Daylight Time),null,72aC65hDVy,2016,"[""k445afH3xC"",""e3qR7cHiUt"",""9wsDJZt1LF"",""EWaH6EpO6e"",""EnPqkDURdL"",""LOm1LOSK9B"",""AgJAMYYdpK"",""Ae4K4CwdbX"",""WpqITXE6gt"",""Q33TGg7n4h"",""YdQSbEvRfY"",""titeRGhaoB"",""VPjtzA2rCb"",""HCUHlfP7mQ"",""RY9uvxgIjJ"",""hdW2UolblP"",""jtCdq2EWML"",""v8irf5X2pC"",""sUTzyAdtFA"",""yJNLpStfbI"",""WtbIN32Vvc"",""GkiVRch1K4"",""0VOQW5HECu"",""IzRiCkJapn"",""jGguHSBelz"",""G3nNSLEziD"",""WhkylFmkr7"",""kfvNmbHjTI"",""ayUib5fZuR"",""qfOVFUW4gU"",""KyYNOHhaX9"",""fGtZ7fTsGC"",""vPhV9jXeuV"",""zZn43rvZlb"",""cvxz3CUNvs"",""FfuLPPzI3Q""]"
eB3t4Xwwzr,Thu Dec 03 2015 18:09:57 GMT-0600 (Central Standard Time),Thu Dec 03 2015 18:10:06 GMT-0600 (Central Standard Time),null,72aC65hDVy,2013,"[""AFeaZeMTqP"",""xEvey7LHCs"",""0kBR9KgDGS"",""sTfp1xVTJ6"",""BEYDVRhJeB"",""EMWeMkVBVK"",""goSgpc30T5"",""mrNtl0DtIC"",""BP4Pq5sWgd"",""p21ZyfS16B"",""RY9uvxgIjJ"",""LXtwA1U1HF"",""7KjYaMBEnr"",""WZWslTb1Ss"",""04r1R9pfGT"",""Pnr4BHAnvi"",""wpu4ksFD6S"",""CWl5bsSkzf"",""m3sRG3tBFi"",""vrK5cnstnG"",""NPwL8Dh2y4"",""EnJLWiMjLJ"",""0VOQW5HECu"",""q9N175q8VS"",""KAvbEEnLar"",""WAnRQurUlq"",""Ri17zAc4mq"",""RkbYS79bYA"",""GBOHwub6oF"",""rSajAJDeuJ"",""QYN5vuPsmt"",""eSE8HPACe4"",""TCvR2vp6ja"",""ct7n8OibzN"",""zZn43rvZlb""]"
eoc2YoRPJZ,Thu Nov 17 2016 10:54:39 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:54:39 GMT-0600 (Central Standard Time),null,3p9G6BhuYM,2016,
fJ6Ih1ENlE,Fri Aug 05 2016 00:19:12 GMT-0500 (Central Daylight Time),Fri Aug 05 2016 00:19:12 GMT-0500 (Central Daylight Time),null,NGA0DzgJnH,2015,"[""2WYEsWwtiE"",""R2JiAyzHex"",""PvN4cMv9Wh"",""VlltjYDkLQ"",""4MrUvJXoz2"",""ntVoreAxUn"",""2EBJCCjYvr"",""FvWOSHYX5u"",""edmySsHyjj"",""mU9c3SUI2O"",""SAgTOm6syg"",""JxcAekhk9T"",""1wbOYYpo0L"",""kxNtvQBd9C"",""T9yiyEUNV4"",""JNhvgfWrN5"",""8BBsZ4fjPT"",""vK8du0pwDr"",""4zcw79OSYI"",""PudHIgqgWl"",""0kBR9KgDGS""]"
fuNEQMyDK3,Wed Sep 20 2017 16:46:53 GMT-0500 (Central Daylight Time),Wed Jan 31 2018 12:46:33 GMT-0600 (Central Standard Time),null,ZONaVCJXMP,2017,"[""oDiylfxaCV"",""gtVOlncQQC"",""0kBR9KgDGS"",""yIpPBCdaqx"",""pPsyr6tcke"",""qYoPRC8l59"",""goSgpc30T5"",""mIqPpWYzeE"",""0ZZAI0gpqc"",""mrNtl0DtIC"",""RY9uvxgIjJ"",""qPR6ASM4q8"",""JxcAekhk9T"",""PtV7LlqqWt"",""lmRl9DuW0c"",""IMj8Zz7HWp"",""4pD1BWYoK7"",""hAM7ngJmlm"",""Pnr4BHAnvi"",""qSK2BXeAGt"",""bHBvdERj00"",""6Yaq4XFaKd"",""821oZkfWPo"",""Q9dSvngdsQ"",""lnNVPhfE9P"",""e50Hw33JO1"",""21qrrjSuuO"",""dAPvyRjR6z"",""hRzEthgimk"",""PudHIgqgWl"",""hOWNm6HyjL"",""aN5MeFmEvv""]"
gB1i44n3X4,Sun Mar 04 2018 20:21:17 GMT-0600 (Central Standard Time),Sun Mar 04 2018 20:21:17 GMT-0600 (Central Standard Time),null,weNkSqNAPd,2017,
gDKIZxxvYI,Sat May 02 2020 13:08:39 GMT-0500 (Central Daylight Time),Mon May 04 2020 21:32:20 GMT-0500 (Central Daylight Time),null,7k4NM5D7Jc,2018,"[""kxNtvQBd9C"",""hrgUJmF7lO"",""cWKorMQMSE"",""CqaTISjN4l"",""9HFbnV1aeb"",""HMka5CQ3hU"",""8FqXEZ6U4W"",""GSETlO5nPE"",""mrDNadRX7B"",""aYBxZZMQNi"",""mWvLdSYmOE"",""Msmr5MBZd9"",""8UDRDFDgFD"",""aktQzexPi2"",""B0S9lw0ArQ"",""RY9uvxgIjJ"",""146fDFvKDL"",""4zcw79OSYI"",""CBd4aJg8bD"",""Iay3hxLtDk"",""x41TvKGl8q"",""3EZtucWoNG"",""o7IxZwnJjo"",""V92p96lPjb"",""nOHYrBZDw9"",""rmy6Rl2Vh6"",""sZZvHE2pjX"",""G1Vo0zPxAc"",""UX7xXfL74q"",""R2JiAyzHex""]"
jyvYufpVeF,Tue Feb 19 2019 19:16:39 GMT-0600 (Central Standard Time),Tue Feb 19 2019 19:16:39 GMT-0600 (Central Standard Time),null,FcfiL1DyBo,2012,
l3FqzrWGMu,Mon Aug 02 2021 22:07:07 GMT-0500 (Central Daylight Time),Mon Aug 02 2021 22:07:07 GMT-0500 (Central Daylight Time),null,s8MTQ8xMBE,2021,
