objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
TOAXC4h5db,2015,lC9zc3mb9Ik,null,2,730,Tue Jun 28 2016 18:42:18 GMT-0500 (Central Daylight Time),X3X3bWXs8E,DEFENSE,,,Tue Jun 28 2016 18:42:18 GMT-0500 (Central Daylight Time),mhnUAAk8wm
TOGrlBKqBr,2017,2V2pN9kH3WU,null,,1230,Wed Sep 20 2017 17:32:08 GMT-0500 (Central Daylight Time),PnUcE7oTGf,TURNOVER,,dAPvyRjR6z,Wed Sep 20 2017 17:32:08 GMT-0500 (Central Daylight Time),ZONaVCJXMP
TOdr7EfB3M,2016,oDmBfDtnkBQ,null,,1150,Wed Jul 19 2017 21:12:25 GMT-0500 (Central Daylight Time),OMXrnEWOS7,PAUSE_CLOCK,,,Wed Jul 19 2017 21:12:25 GMT-0500 (Central Daylight Time),QaWdxPWpwz
TOkbsZh2Gi,2015,obX1kZnxEJg,null,,159,Thu Mar 24 2016 15:50:22 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,TAKEAWAY,,kJzWiJlp3v,Thu Mar 24 2016 15:50:22 GMT-0500 (Central Daylight Time),72aC65hDVy
TOkg10Bi4D,2017,1J_q45echIo,null,,458,Mon Oct 23 2017 19:08:27 GMT-0500 (Central Daylight Time),PnUcE7oTGf,AWAY_GOAL,,,Mon Oct 23 2017 19:08:27 GMT-0500 (Central Daylight Time),ZONaVCJXMP
TP28Aohj2P,2016,ReFCfBB6fhE,null,,1421,Sat Nov 12 2016 15:46:29 GMT-0600 (Central Standard Time),nwlMkrbCJ9,LOSE_CONTROL,,,Sat Nov 12 2016 15:46:29 GMT-0600 (Central Standard Time),72aC65hDVy
TPCSZdj9DY,2016,A85CM8PTj4w,null,1,1564,Thu Jun 08 2017 20:27:10 GMT-0500 (Central Daylight Time),OMXrnEWOS7,OFFENSE,,,Thu Jun 08 2017 20:27:10 GMT-0500 (Central Daylight Time),aguEb8e6HQ
TPOgzeTsan,2017,BvLn4CcemZ0,null,,1449,Wed Dec 06 2017 12:55:45 GMT-0600 (Central Standard Time),nwlMkrbCJ9,AWAY_GOAL,,,Wed Dec 06 2017 12:55:45 GMT-0600 (Central Standard Time),J4jYCZM9jX
TPwxpkkJxC,2016,ReFCfBB6fhE,null,0,918,Sat Nov 12 2016 14:58:32 GMT-0600 (Central Standard Time),nwlMkrbCJ9,OFFENSE,,,Sat Nov 12 2016 14:58:32 GMT-0600 (Central Standard Time),7uCf7mKMsz
TPxIXlVTIJ,2017,UduPUwNkXKU,null,2,2656,Wed Feb 07 2018 20:50:22 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 20:50:22 GMT-0600 (Central Standard Time),0eHM4yAUtR
TQLRcILRdV,2015,I1vAlKREdN0,null,,285,Tue Nov 10 2015 14:55:42 GMT-0600 (Central Standard Time),nwlMkrbCJ9,ASSIST,null,goSgpc30T5,Tue Nov 10 2015 14:55:42 GMT-0600 (Central Standard Time),72aC65hDVy
TQjVRIOJUj,2015,9hFiSvWcbC0,null,2,849,Fri May 20 2016 21:39:02 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,DEFENSE,,,Fri May 20 2016 21:39:02 GMT-0500 (Central Daylight Time),72aC65hDVy
TQlJ1bb79c,2016,hZjmBqBum-o,null,2,460,Tue Jun 06 2017 22:42:39 GMT-0500 (Central Daylight Time),OMXrnEWOS7,OFFENSE,,,Tue Jun 06 2017 22:42:39 GMT-0500 (Central Daylight Time),aguEb8e6HQ
TQolqktPUC,2015,k_rGf0762AM,null,,0,Thu Dec 10 2015 15:19:43 GMT-0600 (Central Standard Time),X3X3bWXs8E,SUB,Q8DYGCFqd2,chaserB,Thu Dec 10 2015 15:19:43 GMT-0600 (Central Standard Time),wl56jgemqS
