objectId,createdAt,updatedAt,ACL,team_name
eeGdLqg7B2,Fri Feb 16 2018 08:54:36 GMT-0600 (Central Standard Time),Fri Feb 16 2018 08:54:36 GMT-0600 (Central Standard Time),null,Tufts Quidditch
eexnypd9Ax,Mon Mar 27 2017 11:36:54 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:36:54 GMT-0500 (Central Daylight Time),null,Ball State
ejsL26LzRP,Sat Jan 09 2016 17:34:15 GMT-0600 (Central Standard Time),Sat Jan 09 2016 17:34:15 GMT-0600 (Central Standard Time),null,Marquette Quidditch
fOslL2YWS4,Wed Dec 30 2015 15:24:26 GMT-0600 (Central Standard Time),Wed Dec 30 2015 15:24:26 GMT-0600 (Central Standard Time),null,Deurne Dodo A
hiXRckO3HR,Wed Nov 21 2018 17:38:26 GMT-0600 (Central Standard Time),Wed Nov 21 2018 17:38:26 GMT-0600 (Central Standard Time),null,THC Heat
i1Q9d8L51D,Tue Jun 28 2016 18:09:11 GMT-0500 (Central Daylight Time),Tue Jun 28 2016 18:09:11 GMT-0500 (Central Daylight Time),null,Team Norway
i88VqsygZg,Wed Dec 20 2017 20:54:47 GMT-0600 (Central Standard Time),Wed Dec 20 2017 20:54:47 GMT-0600 (Central Standard Time),null,Lost Boys
igGiePQqI2,Tue Nov 08 2016 12:52:29 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:52:29 GMT-0600 (Central Standard Time),null,TC Frost
kNU5wzM0fJ,Mon Mar 21 2016 13:51:38 GMT-0500 (Central Daylight Time),Mon Mar 21 2016 13:51:38 GMT-0500 (Central Daylight Time),null,Lone Star QC
l5ct7xY8Cg,Fri Dec 04 2015 20:10:12 GMT-0600 (Central Standard Time),Fri Dec 04 2015 20:10:12 GMT-0600 (Central Standard Time),null,Illinois State Firebirds
lR5uXaimjI,Mon Mar 27 2017 11:34:56 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:34:56 GMT-0500 (Central Daylight Time),null,Ohio State Quidditch
mhnUAAk8wm,Fri Dec 04 2015 03:15:10 GMT-0600 (Central Standard Time),Fri Dec 04 2015 03:15:10 GMT-0600 (Central Standard Time),null,Team UK
p0YTMXMMJ5,Fri Feb 16 2018 08:42:57 GMT-0600 (Central Standard Time),Fri Feb 16 2018 08:42:57 GMT-0600 (Central Standard Time),null,Emerson College Quidditch
pFe1cFCeHX,Thu Apr 27 2017 19:38:48 GMT-0500 (Central Daylight Time),Thu Apr 27 2017 19:38:48 GMT-0500 (Central Daylight Time),null,Indianapolis Intensity
q4t17aUQvP,Thu Nov 17 2016 10:53:44 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:53:44 GMT-0600 (Central Standard Time),null,Carnegie Mellon
s8MTQ8xMBE,Mon Aug 02 2021 22:07:07 GMT-0500 (Central Daylight Time),Mon Aug 02 2021 22:07:07 GMT-0500 (Central Daylight Time),null,San Antonio Soldados
