objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
xerpuqbtne,2017,UduPUwNkXKU,null,,0,Wed Jan 31 2018 12:26:08 GMT-0600 (Central Standard Time),PnUcE7oTGf,SUB,bHBvdERj00,chaserC,Wed Jan 31 2018 12:26:08 GMT-0600 (Central Standard Time),ZONaVCJXMP
xli2Wdcv7F,2017,UduPUwNkXKU,null,2,1555,Wed Jan 31 2018 13:14:17 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 13:14:17 GMT-0600 (Central Standard Time),ZONaVCJXMP
xr10MbjkE4,2017,UduPUwNkXKU,null,,2808,Wed Feb 07 2018 20:57:05 GMT-0600 (Central Standard Time),PnUcE7oTGf,GOAL,,,Wed Feb 07 2018 20:57:05 GMT-0600 (Central Standard Time),0eHM4yAUtR
yH9vH86cU7,2017,UduPUwNkXKU,null,,1591,Wed Jan 31 2018 16:56:06 GMT-0600 (Central Standard Time),PnUcE7oTGf,LOSE_CONTROL,,,Wed Jan 31 2018 16:56:06 GMT-0600 (Central Standard Time),ZONaVCJXMP
yMqgauQNmu,2017,UduPUwNkXKU,null,,379,Wed Jan 31 2018 12:44:22 GMT-0600 (Central Standard Time),PnUcE7oTGf,PAUSE_CLOCK,,,Wed Jan 31 2018 12:44:22 GMT-0600 (Central Standard Time),0eHM4yAUtR
yUwNHGoDmh,2017,UduPUwNkXKU,null,2,905,Wed Jan 31 2018 12:58:08 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 12:58:08 GMT-0600 (Central Standard Time),0eHM4yAUtR
yaUQNHLekD,2017,UduPUwNkXKU,null,,458,Wed Jan 31 2018 12:44:46 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Jan 31 2018 12:44:46 GMT-0600 (Central Standard Time),0eHM4yAUtR
yq2vHoQrFg,2017,UduPUwNkXKU,null,,1577,Wed Jan 31 2018 13:14:47 GMT-0600 (Central Standard Time),PnUcE7oTGf,GOAL,,e50Hw33JO1,Wed Jan 31 2018 13:14:47 GMT-0600 (Central Standard Time),ZONaVCJXMP
yyWBxhWgY6,2017,UduPUwNkXKU,null,,526,Wed Jan 31 2018 12:49:09 GMT-0600 (Central Standard Time),PnUcE7oTGf,SUB,pPsyr6tcke,mrNtl0DtIC,Wed Jan 31 2018 12:49:09 GMT-0600 (Central Standard Time),ZONaVCJXMP
z0NiIuqK8T,2017,UduPUwNkXKU,null,2,854,Wed Jan 31 2018 12:56:07 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 12:56:07 GMT-0600 (Central Standard Time),0eHM4yAUtR
z7zp1QoF7G,2017,UduPUwNkXKU,null,,1861,Wed Jan 31 2018 17:13:55 GMT-0600 (Central Standard Time),PnUcE7oTGf,LOSE_CONTROL,,,Wed Jan 31 2018 17:13:55 GMT-0600 (Central Standard Time),ZONaVCJXMP
zBRRT8D99B,2017,UduPUwNkXKU,null,2,1243,Wed Jan 31 2018 13:04:28 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 13:04:28 GMT-0600 (Central Standard Time),0eHM4yAUtR
zHyE1gafPB,2017,UduPUwNkXKU,null,,2031,Wed Feb 07 2018 19:58:25 GMT-0600 (Central Standard Time),PnUcE7oTGf,GAIN_CONTROL,,,Wed Feb 07 2018 19:58:25 GMT-0600 (Central Standard Time),ZONaVCJXMP
zNSTBmkGoI,2017,UduPUwNkXKU,null,0,1215,Wed Jan 31 2018 13:03:23 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 13:03:23 GMT-0600 (Central Standard Time),ZONaVCJXMP
zdZ0Jgd8HA,2017,UduPUwNkXKU,null,,2519,Wed Feb 07 2018 20:47:16 GMT-0600 (Central Standard Time),PnUcE7oTGf,SUB,lmRl9DuW0c,bHBvdERj00,Wed Feb 07 2018 20:47:16 GMT-0600 (Central Standard Time),ZONaVCJXMP
zfGJsEgAs2,2017,UduPUwNkXKU,null,,2256,Wed Feb 07 2018 20:15:33 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Feb 07 2018 20:15:33 GMT-0600 (Central Standard Time),ZONaVCJXMP
zjRmYsdTsw,2017,UduPUwNkXKU,null,1,2573,Wed Feb 07 2018 20:48:43 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Feb 07 2018 20:48:43 GMT-0600 (Central Standard Time),0eHM4yAUtR
zlECmS14ZE,2017,UduPUwNkXKU,null,2,1982,Wed Feb 07 2018 19:56:01 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 19:56:01 GMT-0600 (Central Standard Time),0eHM4yAUtR
zt67tB51E8,2017,UduPUwNkXKU,null,1,556,Wed Jan 31 2018 12:50:23 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Jan 31 2018 12:50:23 GMT-0600 (Central Standard Time),ZONaVCJXMP
zu3ibWMVMP,2017,UduPUwNkXKU,null,,1633,Wed Jan 31 2018 16:57:44 GMT-0600 (Central Standard Time),PnUcE7oTGf,PAUSE_CLOCK,,,Wed Jan 31 2018 16:57:44 GMT-0600 (Central Standard Time),ZONaVCJXMP
