objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
ctMHWuxMdg,2015,KUHbNZMD4sQ,null,Sun Apr 10 2016 10:05:38 GMT-0500 (Central Daylight Time),Sun Apr 10 2016 10:05:38 GMT-0500 (Central Daylight Time),MARC DCQC,sDwvaTBIyS,
cxxnfiLeQh,2015,zLqpAhbbxpY,null,Tue Dec 15 2015 16:02:22 GMT-0600 (Central Standard Time),Tue Dec 15 2015 16:02:22 GMT-0600 (Central Standard Time),Detroit Game 2,aguEb8e6HQ,
cyQ80JEbV6,2015,8tjgJPQ-MVw,null,Mon Dec 21 2015 22:48:11 GMT-0600 (Central Standard Time),Mon Dec 21 2015 22:48:11 GMT-0600 (Central Standard Time),NYT vs OTT1,OpAp5q8omY,
d2dYj55jtK,2015,Fii29rMo2p4,null,Mon Apr 04 2016 22:10:10 GMT-0500 (Central Daylight Time),Mon Apr 04 2016 22:10:10 GMT-0500 (Central Daylight Time),SWRC Tulane,MOyqzF628Q,
dRBoj0jWDp,2015,P3V5s0O3vnQ,null,Wed Nov 11 2015 13:26:02 GMT-0600 (Central Standard Time),Thu Oct 15 2015 19:40:35 GMT-0500 (Central Daylight Time),Ball Brothers Ball State,72aC65hDVy,
dd4KXEIs6p,2015,X_t5wcpn9Zw,null,Mon Mar 21 2016 13:51:51 GMT-0500 (Central Daylight Time),Sun Feb 07 2016 14:14:38 GMT-0600 (Central Standard Time),Bat City Lone Star QC,TrU7dwBcP0,kNU5wzM0fJ
eJibyPCW6H,2015,IsrnJbCi0CY,null,Thu Dec 10 2015 19:07:37 GMT-0600 (Central Standard Time),Thu Dec 10 2015 19:07:37 GMT-0600 (Central Standard Time),ISU vs. QC Nice Part 1,l5ct7xY8Cg,
emdeEvQ6Iu,2015,zUiyoPOxYaE,null,Sun Jun 26 2016 01:24:09 GMT-0500 (Central Daylight Time),Thu Jun 23 2016 01:43:59 GMT-0500 (Central Daylight Time),TeamUK vs France EG Final 2015,1Tq5ZLgKzB,mhnUAAk8wm
fGalsIetdp,2021,gqQRX_BJONs,null,Wed Jul 28 2021 18:02:59 GMT-0500 (Central Daylight Time),Wed Jul 28 2021 18:02:59 GMT-0500 (Central Daylight Time),AUS LC 2021 G3,9pknZhSrVp,Gf7Lbvl78R
ff33VQvK5v,2014,wCyfPvdPw5E,null,Tue Feb 02 2016 20:35:02 GMT-0600 (Central Standard Time),Tue Feb 02 2016 20:35:02 GMT-0600 (Central Standard Time),WCVIII v UNC,72aC65hDVy,
foYQ6NBd5E,2015,2mGISAdt07g,null,Wed Nov 11 2015 13:25:42 GMT-0600 (Central Standard Time),Tue Nov 10 2015 19:07:53 GMT-0600 (Central Standard Time),GLRC Michigan State,72aC65hDVy,
fxrhrCytRz,2015,nskR-NOsd5Q,null,Sun Jul 03 2016 00:29:11 GMT-0500 (Central Daylight Time),Sun Jul 03 2016 00:29:11 GMT-0500 (Central Daylight Time),Euro Games Italy,mhnUAAk8wm,7vxFQLlQ93
g73ijZYW7C,2017,Fr-yu07v2Uc,null,Thu Mar 08 2018 12:26:47 GMT-0600 (Central Standard Time),Thu Mar 08 2018 12:26:47 GMT-0600 (Central Standard Time),Phoenix Cup Ohio Glory,ZONaVCJXMP,RB5Ov9alvr
hYeHF9Wlaj,2015,6J6L7fIPuck,null,Sun Mar 27 2016 09:56:47 GMT-0500 (Central Daylight Time),Sun Mar 27 2016 09:56:47 GMT-0500 (Central Daylight Time),"""World Cup"" Illinois State",72aC65hDVy,
hiKiqFHZ46,2015,LRfEwPIlchM,null,Fri Jan 01 2016 16:42:19 GMT-0600 (Central Standard Time),Fri Jan 01 2016 16:42:19 GMT-0600 (Central Standard Time),Super Ball Brother's Brawl vs. GLCQ,SobMXhbxsA,
